time,wind_speed,wind_dir,wd_cat
2023-06-16 09:00:00,8,116,SE
2023-06-16 10:00:00,9,128,SE
2023-06-16 11:00:00,8,123,SE
2023-06-16 12:00:00,7,114,SE
2023-06-16 13:00:00,9,114,SE
2023-06-16 14:00:00,10,114,SE
2023-06-16 15:00:00,11,116,SE
2023-06-16 16:00:00,12,118,SE
2023-06-16 17:00:00,13,117,SE
2023-06-16 18:00:00,13,116,SE
2023-06-16 19:00:00,12,115,SE
2023-06-16 20:00:00,12,112,E
2023-06-16 21:00:00,10,110,E
2023-06-16 22:00:00,9,90,E
2023-06-16 23:00:00,7,90,E
2023-06-17 00:00:00,6,90,E
2023-06-17 01:00:00,6,81,E
2023-06-17 02:00:00,6,75,E
2023-06-17 03:00:00,5,82,E
2023-06-17 04:00:00,4,91,E
2023-06-17 05:00:00,4,106,E
2023-06-17 06:00:00,5,126,SE
2023-06-17 07:00:00,6,135,SE
2023-06-17 08:00:00,6,140,SE
2023-06-17 09:00:00,7,147,SE
2023-06-17 10:00:00,7,169,S
2023-06-17 11:00:00,8,165,S
2023-06-17 12:00:00,7,162,S
2023-06-17 13:00:00,7,164,S
2023-06-17 14:00:00,6,162,S
2023-06-17 15:00:00,6,166,S
2023-06-17 16:00:00,6,172,S
2023-06-17 17:00:00,7,183,S
2023-06-17 18:00:00,7,189,S
2023-06-17 19:00:00,6,189,S
2023-06-17 20:00:00,6,188,S
2023-06-17 21:00:00,6,186,S
2023-06-17 22:00:00,6,179,S
2023-06-17 23:00:00,6,177,S
2023-06-18 00:00:00,6,173,S
2023-06-18 01:00:00,7,170,S
2023-06-18 02:00:00,7,168,S
2023-06-18 03:00:00,7,171,S
2023-06-18 04:00:00,8,167,S
2023-06-18 05:00:00,7,165,S
2023-06-18 06:00:00,7,165,S
2023-06-18 07:00:00,7,168,S
2023-06-18 08:00:00,6,168,S
2023-06-18 09:00:00,6,167,S
2023-06-18 10:00:00,6,179,S
2023-06-18 11:00:00,6,182,S
2023-06-18 12:00:00,6,187,S
2023-06-18 13:00:00,6,189,S
2023-06-18 14:00:00,6,194,S
2023-06-18 15:00:00,6,199,S
2023-06-18 16:00:00,6,198,S
2023-06-18 17:00:00,7,198,S
2023-06-18 18:00:00,7,197,S
2023-06-18 19:00:00,7,196,S
2023-06-18 20:00:00,7,192,S
2023-06-18 21:00:00,7,187,S
2023-06-18 22:00:00,8,184,S
2023-06-18 23:00:00,8,174,S
2023-06-19 00:00:00,9,167,S
2023-06-19 01:00:00,9,163,S
2023-06-19 02:00:00,9,160,S
2023-06-19 03:00:00,9,158,S
2023-06-19 04:00:00,9,158,S
2023-06-19 05:00:00,9,157,SE
2023-06-19 06:00:00,9,154,SE
2023-06-19 07:00:00,8,148,SE
2023-06-19 08:00:00,8,147,SE
2023-06-19 09:00:00,7,146,SE
2023-06-19 10:00:00,8,152,SE
2023-06-19 11:00:00,8,156,SE
2023-06-19 12:00:00,8,151,SE
2023-06-19 13:00:00,8,148,SE
2023-06-19 14:00:00,7,146,SE
2023-06-19 15:00:00,7,144,SE
2023-06-19 16:00:00,7,144,SE
2023-06-19 17:00:00,7,140,SE
2023-06-19 18:00:00,7,138,SE
2023-06-19 19:00:00,7,136,SE
2023-06-19 20:00:00,7,134,SE
2023-06-19 21:00:00,8,131,SE
2023-06-19 22:00:00,6,128,SE
2023-06-19 23:00:00,6,135,SE
2023-06-20 00:00:00,7,131,SE
2023-06-20 01:00:00,7,135,SE
2023-06-20 02:00:00,8,138,SE
2023-06-20 03:00:00,8,134,SE
2023-06-20 04:00:00,8,131,SE
2023-06-20 05:00:00,8,133,SE
2023-06-20 06:00:00,8,133,SE
2023-06-20 07:00:00,8,135,SE
2023-06-20 08:00:00,8,132,SE
2023-06-20 09:00:00,8,126,SE
2023-06-20 10:00:00,7,118,SE
2023-06-20 11:00:00,7,119,SE
2023-06-20 12:00:00,7,123,SE
2023-06-20 13:00:00,7,125,SE
2023-06-20 14:00:00,7,121,SE
2023-06-20 15:00:00,6,125,SE
2023-06-20 16:00:00,7,126,SE
2023-06-20 17:00:00,6,118,SE
